video_id,title,description,url,channel_title,published_at,view_count,comment_count,top_comments
wv_s_907,허위정보 vs 해명: Creator A 라이브 당일 하이라이트,비교 편집. 선정 장면 과다,https://youtu.be/mock_wreck_watch_907,WreckWatch,2024-06-18T22:56:00,1310000,9900,'해명 말 안 맞네' 과열 댓글
wv_s_908,언론 따라잡기: Creator A 논란 기사 헤드라인 모음,기사 헤드라인 인용 목적,https://youtu.be/mock_wreck_watch_908,WreckWatch,2024-06-19T16:07:00,860000,5400,'뉴스가 렉카 당했다' 채팅
wv_s_909,폭로·충격·실체 세트패키지: Creator A 18분 몽타주,카테고리: News & Politics 형식,https://youtu.be/mock_wreck_watch_909,WreckWatch,2024-06-20T11:52:00,1510000,11200,'스토킹 아니냐' 신상 유출 우려 의견
wv_s_910,카톡·녹취 재편집 본편 파트 2 … '협박성 문자' 장면 극대화,편집 의도 명시 불명확,https://youtu.be/mock_wreck_watch_910,WreckWatch,2024-06-21T08:06:00,1630000,13800,'범죄 아니냐' '조작 가능' 혼합
wv_s_911,【팩트체크 형식 리스크 브랜치】 논평: 과장된 제목 재경고,공식 검증 아님,https://youtu.be/mock_wreck_watch_911,WreckWatch,2024-06-21T15:52:00,520000,3200,'이건 균형있네' 근데 자극 썸네일
wv_s_912,【공식 해명 라이브 핵심 5분 재편집】 논평 채널,크리에이터 본 채널 라이브 클립 2차 가공·논평,https://youtu.be/mock_wreck_watch_912,WreckWatch,2024-06-22T09:43:00,2870000,15300,'입장문은 신빙성 부족' 댓글 다수 vs '근거 필요' 라이브
wv_s_913,카톡·녹취 무편집? 딥페이크 의혹 '추정' 영상까지?,미확인 주장 과다 포함,https://youtu.be/mock_wreck_watch_913,WreckWatch,2024-06-23T20:51:00,2050000,14250,'증거 타임라인 필요' 채널 회원 라이브
wv_s_914,허위정보 브랜치: 거짓말 카운트 업 숏폼 챌린지 패러디 버전,@Creator A 포함 선정 장면 패러디 업로더 다수 참여,https://youtu.be/mock_wreck_watch_914,WreckWatch,2024-06-24T12:57:00,3410000,18700,#CreatorA 거짓말 카운트 — 해시 과열 커뮤니티
wv_s_915,네이버 실검 따라잡기: Creator A 검색 급증 이유 브랜치,브랜치형 실검 순위 따라가기 채널,https://youtu.be/mock_wreck_watch_915,WreckWatch,2024-06-25T10:41:00,4130000,21400,'검색이 공포 마케팅' 과장 주장 포함
wv_s_916,【야간 라이브】Creator A '사실관계 검증' 디베이트 (팩트체크 아님),참석자 패널 자극적 발언,https://youtu.be/mock_wreck_watch_916,WreckWatch,2024-06-26T03:58:00,4680000,23100,'낚시 채널' vs '언론 기능' 디베이트 과열 채팅
wv_s_917,외신 반응 패러디 포함: 크리에이터 '사기 피소' 헤드라인 인용 허위 포함 가능 헤더,번역 헤드라인 위험 패러디 포함,https://youtu.be/mock_wreck_watch_917,WreckWatch,2024-06-27T11:41:00,5620000,24890,조회 과열 채널 회원 채팅 백로그 과다
wv_s_918,종합 패키지: Creator A 카톡·녹취 신상 브랜치 합본 3시간,긴 시간대 선정 브랜치 모음본,https://youtu.be/mock_wreck_watch_918,WreckWatch,2024-06-27T21:54:00,6410000,28300,BGM 자극 + 협박성 메시지 톤 과장 채널 패널
wv_s_919,종합 패키지: Creator A 카톡·녹취 브랜치 합본 3시간 (재업),복제 업로더 퍼가기 이슈,https://youtu.be/mock_wreck_watch_919,WreckWatch,2024-06-28T19:58:00,7720000,31200,COPYCAT 채널 다수 활성화 — 실제와 데이터 불일치 경고 헤더
wv_s_920,【긴급】Creator A '사실 여부 무관 브랜치' 과열 디스코 라이브,디스코 링크는 샘플에 없음,https://youtu.be/mock_wreck_watch_920,WreckWatch,2024-06-29T16:52:00,8910000,35200,#CreatorA 과열 디스코 캠페인 언급 댓글 샘플
wv_s_921,종합 패키지: 카톡·녹취 포함 복제 패키지 4시간,유사 제목 과다 복제,https://youtu.be/mock_wreck_watch_921,WreckWatch,2024-06-30T12:51:00,9630000,38400,#CreatorA 카톡 전문 유출 주장 과다 / 실제 무관 패러디 혼합
wv_s_922,【긴급】Creator A '사실 무관 과열 디스코' 라이브 2부,패널 과장 패러디 패키지 포함,https://youtu.be/mock_wreck_watch_922,WreckWatch,2024-07-01T10:52:00,11200000,42200,Risk 지표 과열 테스트용 가상 데이터 헤더
wv_s_923,패러디 과열 테스트: Creator A '사기 카운터' 디스코 캠페인 패러디,디스코 캠패인 과장 헤더,https://youtu.be/mock_wreck_watch_923,WreckWatch,2024-07-02T13:53:00,12400000,44100,Risk 테스트용 과열 과장 반복 과다
